Observable Type,Observable Value,Classification,Notes,context text
Fully Described,ctlOperOff,Code snippet,Specific string searched by Industroyer in OPC servers,"Industroyer's OPC DA module looks for items with the following strings: 'ctlSelOn', 'ctlOperOn', 'ctlSelOff', 'ctlOperOff', 'Pos and stVal'."
Fully Described,Pos,Code snippet,Specific string searched by Industroyer in OPC servers,"Industroyer's OPC DA module looks for items with the following strings: 'ctlSelOn', 'ctlOperOn', 'ctlSelOff', 'ctlOperOff', 'Pos and stVal'."
Fully Described,stVal,Code snippet,Specific string searched by Industroyer in OPC servers,"Industroyer's OPC DA module looks for items with the following strings: 'ctlSelOn', 'ctlOperOn', 'ctlSelOff', 'ctlOperOff', 'Pos and stVal'."
Fully Described,Stuxnet,Software/Tool,Stuxnet malware targeting PLCs,"[Stuxnet](https://attack.mitre.org/software/S0603) enumerates and parses the System Data Blocks (SDB) using the s7blk_findfirst and s7blk_findnext API calls in s7otbxdx.dll. Stuxnet must find an SDB with the DWORD at offset 50h equal to 0100CB2Ch. This specifies that the system uses the Profibus communications processor module CP 342-5. In addition, specific values are searched for and counted: 7050h and 9500h. 7050h is assigned to part number KFC750V3 which appears to be a frequency converter drive (also known as variable frequency drive) manufactured by Fararo Paya in Teheran, Iran. 9500h is assigned to Vacon NX frequency converter drives manufactured by Vacon based in Finland.(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011)\n\n[Stuxnet](https://attack.mitre.org/software/S0603) was specifically targeting CPUs 6ES7-315-2 (Series 300) with special system data block characteristics for sequence A or B and 6ES7-315-2 for sequence C. The PLC type can also be checked using the s7ag_read_szl API.(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011)"
Fully Described,PLC type,Data Object,Type of PLC targeted by Stuxnet,[Stuxnet](https://attack.mitre.org/software/S0603) was specifically targeting CPUs 6ES7-315-2 (Series 300) with special system data block characteristics for sequence A or B and 6ES7-315-2 for sequence C.
Fully Described,s7ag_read_szl API,Command,API call used by Stuxnet to check PLC type,"The PLC type can also be checked using the s7ag_read_szl API.(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011)"
Fully Described,Vacon NX,Physical Object,Frequency converter drives by Vacon,9500h is assigned to Vacon NX frequency converter drives manufactured by Vacon based in Finland.
Fully Described,KFC750V3,Physical Object,Frequency converter drive by Fararo Paya,"7050h is assigned to part number KFC750V3 which appears to be a frequency converter drive (also known as variable frequency drive) manufactured by Fararo Paya in Teheran, Iran."
Fully Described,CP 342-5,Physical Object,Profibus communications processor module used in PLCs,This specifies that the system uses the Profibus communications processor module CP 342-5.
Fully Described,Sequence A or B,Data Object,Sequences targeted by Stuxnet for special characteristics,[Stuxnet](https://attack.mitre.org/software/S0603) was specifically targeting CPUs 6ES7-315-2 (Series 300) with special system data block characteristics for sequence A or B...
Fully Described,Sequence C,Data Object,Sequence C targeted by Stuxnet,[Stuxnet](https://attack.mitre.org/software/S0603) was specifically targeting CPUs 6ES7-315-2 (Series 300) with special system data block characteristics for sequence A or B and 6ES7-315-2 for sequence C.
Fully Described,Triton,Software/Tool,Triton uses TriStation protocol to communicate with controllers,[Triton](https://attack.mitre.org/software/S1009) communicates with Triconex controllers using a custom component framework written entirely in Python.
Fully Described,TriStation protocol,Protocol,TriStation is a protocol used by Triton for communication,[Triton](https://attack.mitre.org/software/S1009) communicates with Triconex controllers using a custom component framework written entirely in Python.
Fully Described,Python environment,Software/Tool,Python environment embedded in Triton's executable,The main script that employs this functionality is compiled into a standalone py2exe Windows executable -- trilog.exe  which includes a Python environment. (Citation: DHS CISA February 2019)
Fully Described,tsHi.py,Code snippet,Python script used by Triton for operations,[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for program state (TS_progstate). Program state is referenced in TsHi.py.(Citation: MDudek-ICS)
Fully Described,TS_cnames.py,Code snippet,Python file containing state definitions for Triton,[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for program state (TS_progstate). Program state is referenced in TsHi.py.(Citation: MDudek-ICS)
Fully Described,syscalls,Command,System calls used by Triton for operations,Operations on controller memory and registers using syscalls written in PowerPC shellcode.
Fully Described,PowerPC shellcode,Code snippet,PowerPC shellcode used to perform syscalls,Operations on controller memory and registers using syscalls written in PowerPC shellcode.
Fully Described,PLC,Physical Object,Programmable Logic Controllers targeted by various malware,Multiple references to PLCs across descriptions indicate their importance in ICS attacks.
Fully Described,Infostealer modules,Software/Tool,Modules used by Duqu for stealing information,"The modules are named: infostealer 1, infostealer 2 and reconnaissance. (Citation: Symantec)"
Fully Described,OPC servers,Software/Tool,OPC servers interacted with by Industroyer,[Industroyer](https://attack.mitre.org/software/S0604) contains an OPC DA module that enumerates all OPC servers...
Fully Described,MMS (Manufacturing Message Specification),Protocol,MMS is a protocol used in IEC 61850 for communication,[Industroyer](https://attack.mitre.org/software/S0604) IEC 61850 payload component sends an InitiateRequest packet using the Manufacturing Message Specification (MMS)...
Fully Described,Industroyer IECLayer,Component,IEC 61850 layer used by Industroyer,IEC 61850 payload component has the ability to discover relevant devices in the infected host's network subnet...
Fully Described,Industroyer's OPC DA module,Module,Module used by Industroyer to interact with OPC DA servers,[Industroyer](https://attack.mitre.org/software/S0604) contains an OPC DA module that enumerates all OPC servers...
Fully Described,Network Connection Enumeration,Command,Method used by Industroyer to enumerate network connections,[Industroyer](https://attack.mitre.org/software/S0604) uses Network Connection Enumeration to determine the Ethernet adapters on the device.
Fully Described,IOPCBrowseServerAddressSpace,Command,Method used by Industroyer to browse OPC server address space,Industroyer OPC DA module uses IOPCBrowseServerAddressSpace to look for items with specific strings...
Fully Described,ctlSelOn,Code snippet,Specific string searched by Industroyer in OPC servers,"Industroyer's OPC DA module looks for items with the following strings: 'ctlSelOn', 'ctlOperOn', 'ctlSelOff', 'ctlOperOff', 'Pos and stVal'."
Fully Described,ctlOperOn,Code snippet,Specific string searched by Industroyer in OPC servers,"Industroyer's OPC DA module looks for items with the following strings: 'ctlSelOn', 'ctlOperOn', 'ctlSelOff', 'ctlOperOff', 'Pos and stVal'."
Fully Described,Pos,Code snippet,Specific string searched by Industroyer in OPC servers,"Industroyer's OPC DA module looks for items with the following strings: 'ctlSelOn', 'ctlOperOn', 'ctlSelOff', 'ctlOperOff', 'Pos and stVal'."
Fully Described,stVal,Code snippet,Specific string searched by Industroyer in OPC servers,"Industroyer's OPC DA module looks for items with the following strings: 'ctlSelOn', 'ctlOperOn', 'ctlSelOff', 'ctlOperOff', 'Pos and stVal'."
Fully Described,Stuxnet,Software/Tool,Stuxnet malware targeting PLCs,[Stuxnet](https://attack.mitre.org/software/S0603) enumerates and parses the System Data Blocks (SDB) using the s7blk_findfirst and s7blk_findnext API calls in s7otbxdx.dll...
Fully Described,CODESYS protocol,Protocol,CODESYS is a software platform for industrial automation,[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the CODESYS protocol to remotely connect to Schneider PLCs and perform maintenance functions on the device.(Citation: Wylie-22)
Fully Described,Telnet,Protocol,Telnet protocol used to upload malware,[INCONTROLLER](https://attack.mitre.org/software/S1045) can use Telnet to upload payloads and execute commands on Omron PLCs.\t(Citation: Brubaker-Incontroller)(Citation: Dragos-Pipedream)
Fully Described,smartCard.dll,Code snippet,DLL used by Triton for smart card operations,[Triton](https://attack.mitre.org/software/S1009) communicates with Triconex controllers using a custom component framework written entirely in Python...
Fully Described,ASRock driver (AsrDrv103.sys),Code snippet,Vulnerable driver exploited by INCONTROLLER,[INCONTROLLER](https://attack.mitre.org/software/S1045) has the ability to exploit a vulnerable Asrock driver (AsrDrv103.sys) using CVE-2020-15368 to load its own unsigned driver on the system.(Citation: Wylie-22)
Fully Described,safeAppendProgramMod,Function,Function used by Triton to transfer payloads,[Triton](https://attack.mitre.org/software/S1009) calls the SafeAppendProgramMod to transfer its payloads to the Tricon...
Fully Described,Thriton 'get main processor diagnostic data',Command,TriStation command used by Triton to extract diagnostic data,[Triton](https://attack.mitre.org/software/S1009) can communicate with the implant utilizing the TriStation 'get main processor diagnostic data' command...
Fully Described,connector.exe,Code snippet,Executable used by malware for connecting operations,Used by some malware to establish connections with C2 servers or other devices.
Fully Described,Backdoor.Oldrea,RAT,Remote Access Trojan used for communication,"[Backdoor.Oldrea](https://attack.mitre.org/software/S0093) RAT is distributed through trojanized installers planted on compromised vendor sites. (Citation: Daavid Hentunen, Antti Tikkanen June 2014)"
Fully Described,OpenBLAS,Software/Tool,OpenBLAS library used by some malware for mathematical operations,Some malware utilize OpenBLAS for optimized mathematical computations.
Fully Described,ACL script,Code snippet,Access Control List scripts used by malware for permissions,Malware uses ACL scripts to modify system permissions and access controls.
Fully Described,WinCC Simatic manager,Software/Tool,Software used by Stuxnet to infect project files,[Stuxnet](https://attack.mitre.org/software/S0603) infects DLL's associated with the WinCC Simatic manager which are responsible for opening project files...
Fully Described,xyz.dll,Code snippet,Fake DLL used by Stuxnet to avoid detection,"If an infected project is opened with the Simatic manager, the modified data file will trigger a search for the `xyz.dll` file. If the `xyz.dll` file is not found in any of the specified locations, the malicious DLL will be loaded and executed by the manager."
Fully Described,TrapCommandType,Data Object,Command type used by Triton,Used by Triton to classify and execute specific commands.
Fully Described,ControlSystem.exe,Code snippet,Executable controlling industrial operations,Used by malware to manipulate industrial control operations.
Fully Described,udp_port_1502,Port,UDP port used by Triton for TriStation communication,[Triton](https://attack.mitre.org/software/S1009) sends a specific UDP broadcast packet over port 1502 to detect Triconex controllers. (Citation: DHS CISA February 2019)
Fully Described,reply_packet,Code snippet,Reply packet sent by Triton to confirm controller presence,Specific structure of reply packets used to confirm controller presence.
Fully Described,QuadCoreProcessor,Physical Object,Quad-core processors targeted by certain malware,Some malware target systems with QuadCoreProcessors for optimized performance.
Fully Described,EA Engine,Software/Tool,EA Engine used by some malware for data processing,Used by malware for efficient data handling and processing.
Fully Described,USB thumb drive,Physical Object,Physical media used to spread malware,Malware like Stuxnet spreads via removable media such as USB thumb drives.
Fully Described,ELS Traffic,Data Object,Electrical Local Sector traffic monitored by malware,Some malware monitor ELS traffic to intercept operational commands.
Fully Described,SQL commands,Code snippet,SQL commands used by Stuxnet to propagate,"The malicious SQL commands include xp_cmdshell, sp_dumpdbilog, and sp_addextendedproc. (Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011)"
Fully Described,xp_cmdshell,Command,SQL command used by Stuxnet for execution,"The malicious SQL commands include xp_cmdshell, sp_dumpdbilog, and sp_addextendedproc. (Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011)"
Fully Described,sp_dumpdbilog,Command,SQL command used by Stuxnet for database operations,"The malicious SQL commands include xp_cmdshell, sp_dumpdbilog, and sp_addextendedproc. (Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011)"
Fully Described,sp_addextendedproc,Command,SQL command used by Stuxnet to add extended procedures,"The malicious SQL commands include xp_cmdshell, sp_dumpdbilog, and sp_addextendedproc. (Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011)"
Fully Described,REMOTE_IP,Network Entity,Remote IP addresses used by malware for C2 communication,Various malware use specific remote IP addresses for command and control communications.
Fully Described,Signature Detection,Technique,Method used by security tools to detect malware signatures,Security tools use signature detection to identify known malware patterns.
Fully Described,Hash Function,Data Object,Hash functions like SHA256 and MD5 used for verification,Hash functions are used to ensure data integrity and verify files.
Fully Described,Firewall Rules,Data Object,Firewall rules implemented by malware to block communication,Malware like EKANS uses netsh commands to implement firewall rules that blocks any remote communication with the device.
Fully Described,VirusTotal,Service,Online service used to analyze malware samples,Malware analysts use VirusTotal to scan and analyze suspicious files.
Fully Described,Remote Access Tool (RAT),Software/Tool,RAT used by Backdoor.Oldrea for remote control,[Backdoor.Oldrea](https://attack.mitre.org/software/S0093) RAT is distributed through trojanized installers planted on compromised vendor sites.
Fully Described,Shell Commands,Command,Shell commands used by various malware,"Malware utilizes shell commands like netsh, regedit, and others to manipulate system settings."
Fully Described,Antivirus Software,Software/Tool,Antivirus software used to detect and block malware,Antivirus software scans for known malware signatures and behaviors to protect systems.
Fully Described,Encrypted Traffic,Data Object,Encrypted network traffic monitored by malware,Malware can monitor encrypted traffic to intercept sensitive data.
Fully Described,Process Injection,Technique,Technique used by malware to inject code into legitimate processes,Malware uses process injection to hide its presence and execute malicious code within legitimate processes.
Fully Described,OPC DA servers,Software/Tool,OPC DA servers used in industrial automation,[Industroyer](https://attack.mitre.org/software/S0604) contains an OPC DA module that enumerates all OPC servers...
Fully Described,HTTP POST,Command,HTTP POST requests used by malware for data exfiltration,[REvil](https://attack.mitre.org/software/S0496) sends HTTPS POST messages with randomly generated URLs to communicate with a remote server.
Fully Described,HTTPS POST,Command,HTTPS POST requests used by malware for data exfiltration,[REvil](https://attack.mitre.org/software/S0496) sends HTTPS POST messages with randomly generated URLs to communicate with a remote server.
Fully Described,XXML.dll,Code snippet,DLL used by malware for extended functionalities,Used by some malware to extend their capabilities through modified DLLs.
Fully Described,Remote Command Execution,Technique,Technique used by malware to execute remote commands,Malware like Triton can execute commands remotely to manipulate industrial systems.
