observable_value,artifact_details,data_source,classification,STIX_supported,proprietary_artifact,parser,notes,description,technique_num,description_id,deprecated,related_id,file name,url,Added by,,,,,,,,,
INCONTROLLER,Described,system logs,Software/Tool,Full: Tool,Proprietary-Documented Technology,,Referenced via MITRE ATT&CK (S1045); it includes a library for establishing Modbus connections.,[INCONTROLLER](https://attack.mitre.org/software/S1045) includes a library that creates Modbus connections with a device to request its device ID.(Citation: CISA-AA22-103A)(Citation: Wylie-22),T0888,relationship--80a69b56-337d-446a-8167-8b9f63083c4f,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
INCONTROLLER,Described,endpoint logs,Software/Tool,Full: Tool,Proprietary-Documented Technology,,Referenced via MITRE ATT&CK (S1045) as a malware delivery tool.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can use a Telnet session to load a malware implant on Omron PLCs.(Citation: CISA-AA22-103A)(Citation: Wylie-22),T0867,relationship--868db512-b897-4a54-ae56-ac78f6c93a14,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
INCONTROLLER,Described,system logs,Software/Tool,Full: Software,Proprietary-Documented Technology,,Referenced with a MITRE ATT&CK link (S1045) and multiple citations.,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the CODESYS protocol to upload programs from Schneider PLCs.(Citation: Wylie-22)(Citation: Brubaker-Incontroller) 

[INCONTROLLER](https://attack.mitre.org/software/S1045) can obtain existing program logic from Omron PLCs by using either the program upload or backup functions available through the HTTP server.(Citation: Wylie-22)",T0845,relationship--b346eec8-de90-407c-b665-387086bb4553,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
INCONTROLLER,Described,Threat intelligence feeds / malware analysis reports,Software/Tool,Full: Software,Open/Standard Technology,,Referenced via MITRE ATT&CK (S1045),[INCONTROLLER](https://attack.mitre.org/software/S1045) has the ability to exploit a vulnerable Asrock driver (AsrDrv103.sys) using CVE-2020-15368 to load its own unsigned driver on the system.(Citation: Wylie-22),T0890,relationship--cba8313b-c338-45f7-88ef-a514094882ac,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
INCONTROLLER,Described,system logs,Software/Tool,Full: Software,Proprietary-Documented Technology,,Referenced via MITRE ATT&CK (S1045),[INCONTROLLER](https://attack.mitre.org/software/S1045) can deploy Tcpdump to sniff network traffic and collect PCAP files.(Citation: Wylie-22),T0842,relationship--d8911566-f622-4a01-b765-514dbbfd8201,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
INCONTROLLER,Described,"network logs, threat intelligence feeds",Software/Tool,Full: Software,Open/Standard Technology,,Referenced via the MITRE ATT&CK link (https://attack.mitre.org/software/S1045).,[INCONTROLLER](https://attack.mitre.org/software/S1045) can wipe the memory of Omron PLCs and reset settings through the remote HTTP service.(Citation: Brubaker-Incontroller)(Citation: Dragos-Pipedream)(Citation: Wylie-22),T0809,relationship--e3923fcf-5580-4c1e-bc55-33f67792cc00,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
INCONTROLLER PLCProxy module,Described,ICS Data,Software/Tool,Full: Software,Proprietary-Documented Technology,,Referenced via MITRE ATT&CK (S1045); used to add an IP route on Schneider PLCs.,The [INCONTROLLER](https://attack.mitre.org/software/S1045) PLCProxy module can add an IP route to the CODESYS gateway running on Schneider PLCs to allow it to route messages through the PLC to other devices on that network. This allows the malware to bypass firewall rules that prevent it from directly communicating with devices on the same network as the PLC.(Citation: Wylie-22),T0884,relationship--40479f3e-d4d2-45f8-893f-f8a4fcf1613c,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
IP route,Mentioned,Network logs,Network Configuration,No,Open/Standard Technology,,Generic reference to a routing table entry added to facilitate message forwarding.,The [INCONTROLLER](https://attack.mitre.org/software/S1045) PLCProxy module can add an IP route to the CODESYS gateway running on Schneider PLCs to allow it to route messages through the PLC to other devices on that network. This allows the malware to bypass firewall rules that prevent it from directly communicating with devices on the same network as the PLC.(Citation: Wylie-22),T0884,relationship--40479f3e-d4d2-45f8-893f-f8a4fcf1613c,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
MAC address,Mentioned,network logs,Network Identifier,Full: mac-addr,Open/Standard Technology,Wireshark,Generic reference; not a specific MAC address,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can perform a UDP multicast scan of UDP port 27127 to identify Schneider PLCs that use that port for the NetManage protocol.(Citation: Dragos-Pipedream)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the FINS (Factory Interface Network Service) protocol to scan for and obtain MAC address associated with Omron devices.(Citation: CISA-AA22-103A)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) has the ability to perform scans for TCP port 4840 to identify devices running OPC UA servers.(Citation: Wylie-22)",T0846,relationship--66af47d7-c430-4ac9-8020-fd79b7059037,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
malicious agent,Described,ICS data,Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Refers to the malware payload uploaded on Omron PLCs.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can remotely send commands to a malicious agent uploaded on Omron PLCs over HTTP or HTTPS.(Citation: CISA-AA22-103A),T0869,relationship--0d4f2f88-e176-42c7-8258-52b345045662,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
malware implant,Mentioned,ICS device logs,Malware,Full: Malware,Proprietary-Undocumented Technology,,No specific technical details provided aside from its delivery via Telnet.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can use a Telnet session to load a malware implant on Omron PLCs.(Citation: CISA-AA22-103A)(Citation: Wylie-22),T0867,relationship--868db512-b897-4a54-ae56-ac78f6c93a14,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Modbus connection,Mentioned,ICS network logs,ICS Network Communication,Full: network-traffic,Open/Standard Technology,Wireshark,The library within INCONTROLLER creates Modbus connections to request a device's ID.,[INCONTROLLER](https://attack.mitre.org/software/S1045) includes a library that creates Modbus connections with a device to request its device ID.(Citation: CISA-AA22-103A)(Citation: Wylie-22),T0888,relationship--80a69b56-337d-446a-8167-8b9f63083c4f,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
NetManage protocol,Described,network logs,Communication Protocol,No,Proprietary-Documented Technology,,Protocol used by Schneider PLCs,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can perform a UDP multicast scan of UDP port 27127 to identify Schneider PLCs that use that port for the NetManage protocol.(Citation: Dragos-Pipedream)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the FINS (Factory Interface Network Service) protocol to scan for and obtain MAC address associated with Omron devices.(Citation: CISA-AA22-103A)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) has the ability to perform scans for TCP port 4840 to identify devices running OPC UA servers.(Citation: Wylie-22)",T0846,relationship--66af47d7-c430-4ac9-8020-fd79b7059037,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
OCP UA structure,Mentioned,ICS data,OPC UA Address Space,No,Open/Standard Technology,,A generic reference to the structure (or address space) of OPC UA on devices.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can remotely read the OCP UA structure from devices.(Citation: CISA-AA22-103A),T0861,relationship--064dfd6f-db5d-48e8-b350-9dd47a270911,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Omron devices,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,Generic reference; no specific model provided,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can perform a UDP multicast scan of UDP port 27127 to identify Schneider PLCs that use that port for the NetManage protocol.(Citation: Dragos-Pipedream)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the FINS (Factory Interface Network Service) protocol to scan for and obtain MAC address associated with Omron devices.(Citation: CISA-AA22-103A)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) has the ability to perform scans for TCP port 4840 to identify devices running OPC UA servers.(Citation: Wylie-22)",T0846,relationship--66af47d7-c430-4ac9-8020-fd79b7059037,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Omron PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,General reference to Omron PLC devices.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can remotely send commands to a malicious agent uploaded on Omron PLCs over HTTP or HTTPS.(Citation: CISA-AA22-103A),T0869,relationship--0d4f2f88-e176-42c7-8258-52b345045662,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Omron PLCs,Described,ICS data,PLC,No,Proprietary-Documented Technology,,Specifies a target industrial control device from Omron without additional model details.,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can login to Omron PLCs using hardcoded credentials, which is documented in CVE-2022-34151.(Citation: Wylie-22)",T0891,relationship--1f785984-791e-4612-be32-9ee6903a9c0b,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Omron PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,General reference; no specific model details provided,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the CODESYS protocol to remotely connect to Schneider PLCs and perform maintenance functions on the device.(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can use Telnet to upload payloads and execute commands on Omron PLCs. (Citation: Brubaker-Incontroller)(Citation: Dragos-Pipedream) The malware can also use HTTP-based CGI scripts (e.g., cpu.fcgi, ecat.fcgi) to gain administrative access to the device.(Citation: Wylie-22)",T0886,relationship--2867f491-919b-463f-b689-bb3ceb7ae99f,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Omron PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,Generic reference to Omron programmable logic controllers hosting the CGI scripts.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the HTTP CGI scripts on Omron PLCs to modify parameters on EtherCat connected servo drives.(Citation: Wylie-22),T0836,relationship--4dd93fd2-6e6d-4c50-a091-6d6ea6903f1e,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Omron PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,Refers to industrial control devices manufactured by Omron whose operating mode can be changed remotely.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can establish a remote HTTP connection to change the operating mode of Omron PLCs.(Citation: Dragos-Pipedream)(Citation: Wylie-22),T0858,relationship--51eb15a3-48af-470f-94c0-10f25b366d72,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Omron PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,Target devices for program modification via program download or backup transfer functions.,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the CODESYS protocol to download programs to Schneider PLCs.(Citation: Wylie-22)(Citation: Brubaker-Incontroller) 

[INCONTROLLER](https://attack.mitre.org/software/S1045) can modified program logic on Omron PLCs using either the program download or backup transfer functions available through the HTTP server.(Citation: Wylie-22)",T0843,relationship--7c1eee62-3307-4e25-8a20-919ccd56ec1c,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Omron PLCs,Described,ICS network logs,PLC,No,Proprietary-Documented Technology,,Programmable Logic Controllers manufactured by Omron targeted by the attack.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can use a Telnet session to load a malware implant on Omron PLCs.(Citation: CISA-AA22-103A)(Citation: Wylie-22),T0867,relationship--868db512-b897-4a54-ae56-ac78f6c93a14,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Omron PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,Programmable Logic Controllers manufactured by Omron.,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the CODESYS protocol to upload programs from Schneider PLCs.(Citation: Wylie-22)(Citation: Brubaker-Incontroller) 

[INCONTROLLER](https://attack.mitre.org/software/S1045) can obtain existing program logic from Omron PLCs by using either the program upload or backup functions available through the HTTP server.(Citation: Wylie-22)",T0845,relationship--b346eec8-de90-407c-b665-387086bb4553,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Omron PLCs,Mentioned,"ICS logs, system logs",PLC,No,Proprietary-Documented Technology,,Generic reference to Omron programmable logic controllers without specific model details.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can wipe the memory of Omron PLCs and reset settings through the remote HTTP service.(Citation: Brubaker-Incontroller)(Citation: Dragos-Pipedream)(Citation: Wylie-22),T0809,relationship--e3923fcf-5580-4c1e-bc55-33f67792cc00,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
OPC UA server,Mentioned,network logs,OPC UA Server,No,Open/Standard Technology,Wireshark,Generic reference to servers using the OPC UA protocol targeted with brute force password guessing.,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can brute force password-based authentication to Schneider PLCs over the CODESYS protocol (UDP port 1740).(Citation: CISA-AA22-103A)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can perform brute force guessing of passwords to OPC UA servers using a predefined list of passwords.(Citation: CISA-AA22-103A)(Citation: Wylie-22)",T0859,relationship--6681bc38-0b55-4714-b690-c609956b40bf,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
OPC UA servers,Mentioned,ICS network logs,Server,No,Open/Standard Technology,Wireshark,Target servers that support the OPC UA protocol for tag writing,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can send custom Modbus commands to write register values on Schneider PLCs.(Citation: CISA-AA22-103A) 

[INCONTROLLER](https://attack.mitre.org/software/S1045) can send write tag values on OPC UA servers.(Citation: CISA-AA22-103A)",T0855,relationship--19c0d2bc-8de9-47c3-a1ee-63abc07c4348,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
OPC UA servers,Described,network logs,Network Service,No,Open/Standard Technology,,Generic reference; no specific instance provided,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can perform a UDP multicast scan of UDP port 27127 to identify Schneider PLCs that use that port for the NetManage protocol.(Citation: Dragos-Pipedream)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the FINS (Factory Interface Network Service) protocol to scan for and obtain MAC address associated with Omron devices.(Citation: CISA-AA22-103A)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) has the ability to perform scans for TCP port 4840 to identify devices running OPC UA servers.(Citation: Wylie-22)",T0846,relationship--66af47d7-c430-4ac9-8020-fd79b7059037,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
PCAP files,Mentioned,file system,File,Full: File,Open/Standard Technology,"Wireshark, libpcap",Collected output from Tcpdump capturing network traffic,[INCONTROLLER](https://attack.mitre.org/software/S1045) can deploy Tcpdump to sniff network traffic and collect PCAP files.(Citation: Wylie-22),T0842,relationship--d8911566-f622-4a01-b765-514dbbfd8201,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
predefined list of passwords,Mentioned,file system,Credential List,No,Open/Standard Technology,,A generic reference to a set of passwords used by the tool; no specific contents provided.,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can brute force password-based authentication to Schneider PLCs over the CODESYS protocol (UDP port 1740).(Citation: CISA-AA22-103A)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can perform brute force guessing of passwords to OPC UA servers using a predefined list of passwords.(Citation: CISA-AA22-103A)(Citation: Wylie-22)",T0859,relationship--6681bc38-0b55-4714-b690-c609956b40bf,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
remote HTTP service,Mentioned,network logs,Network Service,No,Open/Standard Technology,"Zeek, Wireshark",Refers to the remote HTTP interface used to reset settings and wipe memory.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can wipe the memory of Omron PLCs and reset settings through the remote HTTP service.(Citation: Brubaker-Incontroller)(Citation: Dragos-Pipedream)(Citation: Wylie-22),T0809,relationship--e3923fcf-5580-4c1e-bc55-33f67792cc00,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Schneider PLC,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,General reference to Schneider Electric programmable logic controllers with no specific model details.,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can brute force password-based authentication to Schneider PLCs over the CODESYS protocol (UDP port 1740).(Citation: CISA-AA22-103A)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can perform brute force guessing of passwords to OPC UA servers using a predefined list of passwords.(Citation: CISA-AA22-103A)(Citation: Wylie-22)",T0859,relationship--6681bc38-0b55-4714-b690-c609956b40bf,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Schneider PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,Target industrial control devices with unspecified model details,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can send custom Modbus commands to write register values on Schneider PLCs.(Citation: CISA-AA22-103A) 

[INCONTROLLER](https://attack.mitre.org/software/S1045) can send write tag values on OPC UA servers.(Citation: CISA-AA22-103A)",T0855,relationship--19c0d2bc-8de9-47c3-a1ee-63abc07c4348,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Schneider PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,General reference; no specific model details provided,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the CODESYS protocol to remotely connect to Schneider PLCs and perform maintenance functions on the device.(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can use Telnet to upload payloads and execute commands on Omron PLCs. (Citation: Brubaker-Incontroller)(Citation: Dragos-Pipedream) The malware can also use HTTP-based CGI scripts (e.g., cpu.fcgi, ecat.fcgi) to gain administrative access to the device.(Citation: Wylie-22)",T0886,relationship--2867f491-919b-463f-b689-bb3ceb7ae99f,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Schneider PLCs,Mentioned,ICS Data,PLC,No,Proprietary-Documented Technology,,Refers to Schneider Electric programmable logic controllers.,The [INCONTROLLER](https://attack.mitre.org/software/S1045) PLCProxy module can add an IP route to the CODESYS gateway running on Schneider PLCs to allow it to route messages through the PLC to other devices on that network. This allows the malware to bypass firewall rules that prevent it from directly communicating with devices on the same network as the PLC.(Citation: Wylie-22),T0884,relationship--40479f3e-d4d2-45f8-893f-f8a4fcf1613c,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Schneider PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,Generic reference; no specific model provided,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can perform a UDP multicast scan of UDP port 27127 to identify Schneider PLCs that use that port for the NetManage protocol.(Citation: Dragos-Pipedream)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the FINS (Factory Interface Network Service) protocol to scan for and obtain MAC address associated with Omron devices.(Citation: CISA-AA22-103A)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) has the ability to perform scans for TCP port 4840 to identify devices running OPC UA servers.(Citation: Wylie-22)",T0846,relationship--66af47d7-c430-4ac9-8020-fd79b7059037,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Schneider PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,Target devices for program download using the CODESYS protocol.,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the CODESYS protocol to download programs to Schneider PLCs.(Citation: Wylie-22)(Citation: Brubaker-Incontroller) 

[INCONTROLLER](https://attack.mitre.org/software/S1045) can modified program logic on Omron PLCs using either the program download or backup transfer functions available through the HTTP server.(Citation: Wylie-22)",T0843,relationship--7c1eee62-3307-4e25-8a20-919ccd56ec1c,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Schneider PLCs,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,Programmable Logic Controllers manufactured by Schneider Electric.,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the CODESYS protocol to upload programs from Schneider PLCs.(Citation: Wylie-22)(Citation: Brubaker-Incontroller) 

[INCONTROLLER](https://attack.mitre.org/software/S1045) can obtain existing program logic from Omron PLCs by using either the program upload or backup functions available through the HTTP server.(Citation: Wylie-22)",T0845,relationship--b346eec8-de90-407c-b665-387086bb4553,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
TCP port 4840,Actionable-Atomic,network logs,Network Port,No,Open/Standard Technology,,Port used for OPC UA server scanning,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can perform a UDP multicast scan of UDP port 27127 to identify Schneider PLCs that use that port for the NetManage protocol.(Citation: Dragos-Pipedream)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the FINS (Factory Interface Network Service) protocol to scan for and obtain MAC address associated with Omron devices.(Citation: CISA-AA22-103A)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) has the ability to perform scans for TCP port 4840 to identify devices running OPC UA servers.(Citation: Wylie-22)",T0846,relationship--66af47d7-c430-4ac9-8020-fd79b7059037,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Tcpdump,Actionable-Atomic,system logs,Software/Tool,Full: Software,Open/Standard Technology,,Used to sniff network traffic as deployed by INCONTROLLER,[INCONTROLLER](https://attack.mitre.org/software/S1045) can deploy Tcpdump to sniff network traffic and collect PCAP files.(Citation: Wylie-22),T0842,relationship--d8911566-f622-4a01-b765-514dbbfd8201,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Telnet,Mentioned,network logs,Network Protocol,No,Open/Standard Technology,Wireshark,Used to upload payloads and execute commands on PLCs,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the CODESYS protocol to remotely connect to Schneider PLCs and perform maintenance functions on the device.(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can use Telnet to upload payloads and execute commands on Omron PLCs. (Citation: Brubaker-Incontroller)(Citation: Dragos-Pipedream) The malware can also use HTTP-based CGI scripts (e.g., cpu.fcgi, ecat.fcgi) to gain administrative access to the device.(Citation: Wylie-22)",T0886,relationship--2867f491-919b-463f-b689-bb3ceb7ae99f,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Telnet session,Mentioned,network logs,Network Connection,Full: Network Traffic,Open/Standard Technology,Wireshark,A generic Telnet communication session used to load the implant.,[INCONTROLLER](https://attack.mitre.org/software/S1045) can use a Telnet session to load a malware implant on Omron PLCs.(Citation: CISA-AA22-103A)(Citation: Wylie-22),T0867,relationship--868db512-b897-4a54-ae56-ac78f6c93a14,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
UDP port 27127,Actionable-Atomic,network logs,Network Port,No,Open/Standard Technology,,Port used for NetManage protocol scanning,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can perform a UDP multicast scan of UDP port 27127 to identify Schneider PLCs that use that port for the NetManage protocol.(Citation: Dragos-Pipedream)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the FINS (Factory Interface Network Service) protocol to scan for and obtain MAC address associated with Omron devices.(Citation: CISA-AA22-103A)(Citation: Wylie-22)

[INCONTROLLER](https://attack.mitre.org/software/S1045) has the ability to perform scans for TCP port 4840 to identify devices running OPC UA servers.(Citation: Wylie-22)",T0846,relationship--66af47d7-c430-4ac9-8020-fd79b7059037,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
0x01 status,Actionable-Atomic,network logs,ICS Protocol Value,No,Open/Standard Technology,,"A specific hexadecimal status output that equates to a 'Primary Variable Out of Limits' alert, used to misdirect operators.","[Industroyer](https://attack.mitre.org/software/S0604)'s OPC module can brute force values and will send out a 0x01 status which for the target systems equates to a Primary Variable Out of Limits misdirecting operators from understanding protective relay status. (Citation: Anton Cherepanov, ESET June 2017)",T0832,relationship--ca3c4d4b-cf53-4489-904f-8a220e421aeb,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
ABB PCM600 configuration files,Described,file system logs,ICS Configuration File,Full: File,Proprietary-Documented Technology,,Specifically targeted by the destructive wiper,[Industroyer](https://attack.mitre.org/software/S0604) has a destructive wiper that overwrites all ICS configuration files across the hard drives and all mapped network drives specifically targeting ABB PCM600 configuration files. (Citation: Dragos Inc. June 2017),T0809,relationship--a1cbbdb5-30ad-4139-9784-e5a134f8d405,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
command line parameter for payload DLL,Mentioned,system logs,Command Line Argument,No,Open/Standard Technology,,The parameter through which the payload DLL‰Ûªs name is supplied; no explicit value is provided.,"The name of the [Industroyer](https://attack.mitre.org/software/S0604) payload DLL is supplied by the attackers via a command line parameter supplied in one of the main backdoors execute a shell command commands. (Citation: Anton Cherepanov, ESET June 2017)",T0807,relationship--3be8045a-1f0d-4460-a76b-ae830e74c1e0,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
Configuration file,Mentioned,file system,Configuration File,Full: File,Open/Standard Technology,,A generic configuration file used to specify the COM port mapping.,"[Industroyer](https://attack.mitre.org/software/S0604) uses the first COM port from the configuration file for the communication and the other two COM ports are opened to prevent other processes accessing them. This may block processes or operators from getting reporting messages from a device. (Citation: Anton Cherepanov, ESET June 2017)",T0804,relationship--648c6649-5861-4b43-a7e5-a9665bafb576,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
Configuration file,Mentioned,file system,Configuration File,No,Open/Standard Technology,,Holds COM port configuration details.,"In [Industroyer](https://attack.mitre.org/software/S0604) the first COM port from the configuration file is used for the actual communication and the two other COM ports are just opened to prevent other processes accessing them. Thus, the IEC 101 payload component is able to take over and maintain control of the RTU device. (Citation: Anton Cherepanov, ESET June 2017)",T0805,relationship--8a604466-8437-4fe6-b6db-ec8fb05d702a,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
connected network adapters,Mentioned,system logs,Network Device,No,Open/Standard Technology,,Generic reference to all network interfaces present on a system.,"[Industroyer](https://attack.mitre.org/software/S0604) contains an IEC 61850 module that enumerates all connected network adapters to determine their TCP/IP subnet masks. (Citation: Anton Cherepanov, ESET June 2017)",T0840,relationship--841ec349-0f4c-43fa-89b8-ef3656497fc9,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,Netta,,,,,,,,,
control devices,Mentioned,ICS network communications / asset inventories,ICS Device,No,Open/Standard Technology,,"Refers to generic control devices (e.g., PLCs, IEDs) in the industrial control environment.","[Industroyer](https://attack.mitre.org/software/S0604) automatically collects protocol object data to learn about control devices in the environment. (Citation: Anton Cherepanov, ESET June 2017)",T0802,relationship--c4122b58-f1b2-4656-a715-55016700bf75,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
DNS,Mentioned,DNS logs,Network traffic,"domain-name, network-traffic",Open/Standard Technology,,Used by EKANS to perform lookups and confirm it is on the intended network,[EKANS](https://attack.mitre.org/software/S0605) performs a DNS lookup of an internal domain name associated with its target network to identify if it was deployed on the intended system. (Citation: Ben Hunter and Fred Gutierrez July 2020),T0840,relationship--1dc35f79-0ada-4342-bd13-10d10c1b0335,FALSE,,EKANS,https://attack.mitre.org/software/S0605,Netta,,,,,,,,,
